timestep,node,chlorine_concentration,arsenic_concentration
51,31,1.838561439542954e-07,0.0
52,32,0.2228423402596353,0.0
52,10,0.0,0.0
52,11,0.2939599371196675,0.0
52,12,0.5772333867474186,0.0
52,13,0.2939599371196675,0.0
52,21,0.1638705969787281,0.0
52,22,0.3609866846013687,0.0
52,23,0.1554455129594831,0.0
52,31,1.8385348401945294e-07,0.0
53,32,0.2380551730073299,0.0
53,10,0.0,0.0
53,11,0.3021170223328523,0.0
53,12,0.6071403524713707,0.0
53,13,0.3194033449962306,0.0
53,21,0.1643446674167814,0.0
53,22,0.3664367183158656,0.0
53,23,0.1605180436527367,0.0
53,31,1.8385082412309297e-07,0.0
54,32,0.2310671122823689,0.0
54,10,0.0,0.0
54,11,0.3193987240351471,0.0
54,12,0.645068599915657,0.0
54,13,0.3193987240351471,0.0
54,21,0.1736887905443755,0.0
54,22,0.3975435511368455,0.0
54,23,0.1507854244389039,0.0
54,31,0.0176535260813152,0.0
55,32,0.226370880685703,0.0
55,10,0.0,0.0
55,11,0.3212900044906865,0.0
55,12,0.6541356497509975,0.0
55,13,0.360971017126552,0.0
55,21,0.1845895401052389,0.0
55,22,0.4331889003378916,0.0
55,23,0.1533376047488839,0.0
55,31,0.1732130424161826,0.0
56,32,0.2433922309022091,0.0
56,10,0.0,0.0
56,11,0.360965794786058,0.0
56,12,0.6186706148563528,0.0
56,13,0.3668509985010173,0.0
56,21,0.2578080997635968,0.0
56,22,0.4410774522706998,0.0
56,23,0.1599538876411788,0.0
56,31,0.18088548467928,0.0
57,32,0.2428083605863336,0.0
57,10,0.0,0.0
57,11,0.3905762496336942,0.0
57,12,0.5382065429934045,0.0
57,13,0.3975262970279221,0.0
57,21,0.2581201279407207,0.0
57,22,0.5063990700810198,0.0
57,23,0.1528842679287084,0.0
57,31,0.1795031953510164,0.0
58,32,0.2649927396626746,0.0
58,10,0.0,0.0
58,11,0.4008850782938384,0.0
58,12,0.4917171042969298,0.0
58,13,0.4410646898057483,0.0
58,21,0.2641892088341656,0.0
58,22,0.5771817793320136,0.0
58,23,0.1565722850814708,0.0
58,31,0.1766742182062083,0.0
59,32,8.898282789692503e-08,0.0
59,10,0.0,0.0
59,11,0.0,0.0
59,12,0.1681266166263175,0.0
59,13,0.3928689092215913,0.0
59,21,0.3789159524314517,0.0
59,22,0.3132584593968746,0.0
59,23,6.096289088687447e-06,0.0
59,31,0.1627651551533852,0.0
60,32,0.1631530988412888,0.0
60,10,0.0,0.0
60,11,0.0,0.0
60,12,0.0707088773914215,0.0
60,13,0.2691837185833494,0.0
60,21,0.0,0.0
60,22,0.0268395354821968,0.0
60,23,0.2503107758034936,0.0
60,31,0.2641122821639263,0.0
61,32,0.2634120449899028,0.0
61,10,0.0,0.0
61,11,0.0,0.0
61,12,0.0236044407349319,0.0
61,13,6.096112694098634e-06,0.0
61,21,0.0,0.0
61,22,0.01326224094042,0.0
61,23,0.3427499023301613,0.0
61,31,0.0,0.0
62,32,0.2646737031282452,0.0
62,10,0.0,0.0
62,11,0.0,0.0
62,12,0.3174749115863179,0.0
62,13,0.2494840152221699,0.0
62,21,0.0,0.0
62,22,0.001116872564522,0.0
62,23,0.3573833576422647,0.0
62,31,0.0,0.0
63,32,0.201780822014511,0.0
63,10,0.0,0.0
63,11,0.0,0.0
63,12,0.3015449643971565,0.0
63,13,0.3268548990968565,0.0
63,21,0.0,0.0
63,22,1.0634616586665062e-08,0.0
63,23,0.3538240946641888,0.0
63,31,0.0,0.0
64,32,0.206808387911065,0.0
64,10,0.0,0.0
64,11,0.0,0.0
64,12,0.2739961615149662,0.0
64,13,0.5063478057493586,0.0
64,21,0.0,0.0
64,22,0.3174644530135626,0.0
64,23,0.3604072911864504,0.0
64,31,0.0,0.0
65,32,0.05314534901364,0.0
65,10,0.0,0.0
65,11,0.0,0.0
65,12,0.2636117144074343,0.0
65,13,0.2380874469875975,0.0
65,21,0.0,0.0
65,22,0.3015350377497389,0.0
65,23,0.1483998197690913,0.0
65,31,0.0,0.0
66,32,0.0378585008631251,0.0
66,10,0.0,0.0
66,11,0.3086284645741312,0.0
66,12,0.2523940536057882,0.0
66,13,0.3015306752980095,0.0
66,21,0.0,0.0
66,22,0.2739871562053612,0.0
66,23,0.1090254310679161,0.0
66,31,0.0,0.0
67,32,0.2462028993108563,0.0
67,10,0.0,0.0
67,11,0.2739831923020207,0.0
67,12,0.2553321639608303,0.0
67,13,0.2739831923020205,0.0
67,21,0.0,0.0
67,22,0.2636030568441874,0.0
67,23,0.2897641401585662,0.0
67,31,0.0,0.0
68,32,0.2322737082198804,0.0
68,10,0.0,0.0
68,11,0.2635992431725829,0.0
68,12,0.2395620815918813,0.0
68,13,0.2635992431725829,0.0
68,21,0.0,0.0
68,22,0.2523857719565906,0.0
68,23,0.4422444851626805,0.0
68,31,0.0,0.0
69,32,0.2176018825028758,0.0
69,10,0.0,0.0
69,11,0.2523821205708161,0.0
69,12,0.2403766581336824,0.0
69,13,0.2523821205708162,0.0
69,21,0.2380646645467974,0.0
69,22,0.2526783921521147,0.0
69,23,0.403005636743103,0.0
69,31,0.0,0.0
70,32,0.194628434177637,0.0
70,10,0.0,0.0
70,11,0.2553200899315036,0.0
70,12,0.2414347076566754,0.0
70,13,0.2553200899315035,0.0
70,21,0.209271169187694,0.0
70,22,0.2399710416627545,0.0
70,23,0.2418463332232418,0.0
70,31,0.0,0.0
71,32,0.1984085101803567,0.0
71,10,0.0,0.0
71,11,0.2399658089539435,0.0
71,12,0.2429790364551744,0.0
71,13,0.239965310179927,0.0
71,21,0.193490190655301,0.0
71,22,0.2403990651248905,0.0
71,23,0.2016228923606031,0.0
71,31,0.0,0.0
72,32,0.1913066964759725,0.0
72,10,0.0,0.0
